Resposta do Modelo: mistral
Tempo de Resposta: 0.00 segundos

Resposta do Modelo:
{
      "Categoria_da_sesmaria": "individual",
      "Sesmeiros": "Dom Fernando Martins Mascarenhas de Lencastro",
      "Capitania": "Pernambuco",
      "Estado_atual": "Pernambuco",
      "Historico_da_terra": "NA",
      "Data_de_peticao": "27 de fevereiro de 1702",
      "Localidade": "Recife de Pernambuco",
      "Marcos_geograficos": "NA",
      "Ribeira": "NA",
      "Confrontantes": "Lizardo Ribeiro Mendonça a fez, no ano de 1702",
      "Area": "NA",
      "Tipo_de_area": "Léguas",
      "Largura": "NA",
      "Comprimento": "NA"
    }
