Resposta do Modelo: gemma2
Tempo de Resposta: 0.00 segundos

Resposta do Modelo:
{
  "Categoria_da_sesmaria": "individual",
  "Sesmeiros": "Feliciano Coelho de Araújo e Acácio Botelho",
  "Capitania": "Pernambuco",
  "Estado_atual": "NA", 
  "Historico_da_terra": "Devoluta nunca povoada",
  "Data_de_peticao": "08/10/1702",
  "Localidade": "Alagoas",
  "Marcos_geograficos": "rio de São Miguel, rio Sabahuá grande e Sabahuá pequeno, camaratubas",
  "Ribeira": "NA",
  "Confrontantes": "Maria da Rocha, Ambrósio Luiz de La Penha, Domingos de La Penha, Helena da Cunha",
  "Area": 4.0,
  "Tipo_de_area": "Léguas",
  "Largura": "NA",
  "Comprimento": "NA"
} 


