Resposta do Modelo: mistral
Tempo de Resposta: 0.00 segundos

Resposta do Modelo:
{
      "Categoria_da_sesmaria": "individual",
      "Sesmeiros": "Não especificado",
      "Capitania": "Pernambuco",
      "Estado_atual": "Pernambuco",
      "Historico_da_terra": "Devoluta nunca povoada",
      "Data_de_peticao": "18 de setembro de 1698",
      "Localidade": "Não especificado",
      "Marcos_geograficos": "Não especificado",
      "Ribeira": "Recife de Pernambuco",
      "Confrontantes": "Não especificado",
      "Area": 1,
      "Tipo_de_area": "Léguas",
      "Largura": "NA",
      "Comprimento": "NA"
    }
