Resposta do Modelo: gemma2
Tempo de Resposta: 0.00 segundos

Resposta do Modelo:
{
  "Categoria_da_sesmaria": "individual",
  "Sesmeiros": "Miguel Pereira de Castro e Bartolomeu Pereira de Castro, Manoel de Araújo de Vasconcelos",
  "Capitania": "Pernambuco",
  "Estado_atual": "Pernambuco",
  "Historico_da_terra": "Devoluta nunca povoada",
  "Data_de_peticao": "22 de agosto de 1713",
  "Localidade": "Rio Traipú",
  "Marcos_geograficos": "Serras das mãos de uma e outra parte, campos de Granhü",
  "Ribeira": "NA",
  "Confrontantes": "NA",
  "Area": "NA",
  "Tipo_de_area": "Léguas",
  "Largura": "NA",
  "Comprimento": "NA"
} 


